شیت اول
فهرست بهای واحد پایه رشته ابنیه سال 1404				
شماره	فصل	شرح	واحد	"بهای واحد
(ریال)"
010509	01	تراشیدن اندودهای ماسه سیمان، باتارد، یا ماسه آهک از روی کلیه سطوح، به همراه اندود رویه آن در صورت وجود	مترمربع	1,196,000
010510	01	خارج کردن بندهای موجود با هر نوع مصالح و پاک کردن درزها	مترطول	13,300
010512	01	برچیدن سقف‌های متشکل از تیر چوبی، حصیر، توفال و اندود روی آن بطور کامل	مترمربع	2,940,000
010513	01	برچیدن  هر نوع سفال بام.	مترمربع	198,500
010514	01	برچیدن  عایق رطوبتی، اعم از قیر و گونی، عایق پیش‌ساخته و مانند آن.	مترمربع	180,500
010515	01	برچیدن جدول‌های بتنی پیش‌ساخته و سنگی با هر ابعاد	مترطول	580,000
010516	01	برچیدن هر نوع عایق حرارتی با هر ضخامت و وزن مخصوص	مترمربع	83,700
010517	01	کسر‌بها به ردیف‌های 010502،  010503 و 010505، در صورتی که مصالح مربوط بدون استفاده از ملات و به طریق خشک نصب شده باشند	مترمربع	-104,500
010518	01	تراشیدن هر نوع اندود پاششی مقاوم در برابر آتش به سطح تا 0.05 مترمربع	عدد	173,000
010601	01	برچیدن تخته زیر شیروانی یا توفال سقف.	مترمربع	318,500
010602	01	برچیدن لاپه چوبی به طور کامل.	مترمربع	1,592,000
010603	01	برچیدن خرپای چوبی، به انضمام اتصالات و تیرریزی‌های چوبی بین خرپاها	مترمربع	1,592,000
010604	01	برچیدن در و پنجره چوبی، همراه با چهارچوب مربوط.	عدد	1,046,000
010605	01	برچیدن دیوار جداکننده فولادی، چوبی، شیشه‌ای و مانند آن یا ترکیبی از آن‌ها	مترمربع	837,500
010606	01	بازکردن قفل و یراق‌آلات در و پنجره، لولا، چفت، دستگیره و مانند آن.	لنگه	423,000
010607	01	برچیدن  زیرسازی سطوح کاذب با مصالح چوبی.	مترمربع	427,500
010608	01	برچیدن  انواع صفحات گچی یا سیمانی دیواری و سقفی به همراه زیرسازی مربوط.	مترمربع	567,500
010609	01	برچیدن  پانل‌های ساندویچی فلزی دیواری و سقفی.	مترمربع	318,500
010610	01	برچیدن انواع سقف کاذب، کف‌پوش یا دیوارپوش پلیمری، چوبی، آلومینیومی، به همراه زیرسازی مربوط در صورت لزوم	مترمربع	681,000
010611	01	برچیدن تایل‌های سقفی از هر نوع به صورت مشبک و به گونه‌ای که تایل‌ها سالم حفظ شود به همراه زیرسازی مربوط	مترمربع	426,000
010612	01	برچیدن شیشه نشکن اعم از ثابت یا بازشو به گونه‌ای که شیشه‌ها سالم حفظ شود	مترمربع	558,000
010701	01	برچیدن پنجره یا درهای فلزی، همراه با قاب مربوط   یا هر نوع چهارچوب فلزی دیگر.	عدد	1,395,000
010702	01	برچیدن و صاف کردن (در حد امکان)، و دورچین کردن آهن ورق صاف یا کرکره‌ای از روی شیروانی، سقف‌ها،  سایه‌بان، جان‌پناه ، کف‌پنجره و مانند آن، برحسب سطح برچیده شده	مترمربع	424,500
010704	01	برچیدن ورق‌های صاف یا موج‌دار آزبست سیمان،   برحسب   سطح برچیده شده.	مترمربع	424,500
010705	01	برچیدن  هر نوع اسکلت فولادی ساختمان، برج آب فولادی ومانند آن، با هر نوع تیرآهن، ناودانی، نبشی، لوله و ورق وسایر پروفیل های فولادی، با هرگونه اتصال.	کیلوگرم	30,900
010706	01	برچیدن فنس از توری سیمی، سیم خاردار یا شبکه پیش‌جوش شده با پایه‌های مربوط	مترمربع	523,500
010707	01	برچیدن صفحات رابیتس از سطوح کاذب همراه اندود روی آن در صورت وجود	مترمربع	279,000
010708	01	برچیدن زیرسازی فولادی سطوح کاذب و نمای ساختمان از نبشی، سپری، میلگرد، پروفیل‌های توخالی و مانند آن	کیلوگرم	73,100
010709	01	برچیدن هر نوع نرده فلزی و چوبی	مترمربع	279,000
010710	01	اضافه‌بها به ردیف 010705 در صورتی که  قطعاتی از اعضای اسکلت فولادی به صورت مجزا و پراکنده مانند تیر و ستون برچیده شوند	کیلوگرم	59,000
010711	01	برچیدن روکش روی ستون‌ها، دیوارها و نما از هر نوع ورق فلزی	مترمربع	635,500
010712	01	برچیدن هر نوع سازه فضاکار با هرگونه اتصال	کیلوگرم	136,500
010713	01	برچیدن  در و پنجره آلومینیومی یا U.P.V.C.	عدد	1,061,000
010714	01	برچیدن  هر نوع کانال هوا همراه با عایق آن در صورت وجود بر حسب مترمربع کانال.	مترمربع	159,000
010715	01	برچیدن هر نوع سازه ساخته‌شده با تور سنگ (گابیون) و دسته‌بندی کردن مصالح و سنگهای مربوط	مترمکعب	1,674,000
