شیت اول
فهرست بهای واحد پایه رشته ابنیه سال 1404				
شماره	فصل	شرح	واحد	"بهای واحد
(ریال)"
090104	09	تهیه، ساخت و نصب ستون از دو یا چند تیرآهن، ناودانی یا نبشی به همراه ورق‏های تقویتی و بست‏های افقی یا مایل	کیلوگرم	515,000
090106	09	تهیه، ساخت و نصب ستون از ورق با مقطع چهارگوش، H و شکل‏های دیگر	کیلوگرم	579,500
090220	09	تهیه و کار گذاشتن تیر ساده (تیرریزی ساده) از یک تیرآهن یا ناودانی	کیلوگرم	388,000
090221	09	تهیه و کار گذاشتن تیر ساده (تیرریزی ساده) از یک تیرآهن یا ناودانی، به همراه ورق‏های تقویتی	کیلوگرم	430,000
090222	09	تهیه، ساخت و کار گذاشتن تیر ساده (تیرریزی ساده) از دو یا چند تیرآهن یا ناودانی، در صورتی که به وسیله جوش مستقیما به یکدیگر متصل شوند	کیلوگرم	403,500
090223	09	تهیه، ساخت و کار گذاشتن تیر ساده (تیرریزی ساده) از دو یا چند تیرآهن، ناودانی یا نبشی، به همراه ورق‏های تقویتی و بست‏های افقی یا مایل	کیلوگرم	428,000
090224	09	تهیه، ساخت و نصب تیر پله از تیرآهن یا ناودانی، به همراه اتصالات مربوط	کیلوگرم	501,500
090225	09	تهیه، ساخت و نصب تیر به صورت تودلی، از یک تیرآهن یا ناودانی، به همراه اتصالات مربوط	کیلوگرم	444,000
090226	09	تهیه، ساخت و نصب تیر به صورت تودلی، از یک تیرآهن یا ناودانی، به همراه ورق‏های تقویتی و اتصالات مربوط	کیلوگرم	485,000
090227	09	تهیه، ساخت و نصب تیر به صورت تودلی از دو یا چند تیرآهن یا ناودانی، در صورتی که به وسیله جوش مستقیما به یکدیگر متصل شوند، به همراه اتصالات مربوط	کیلوگرم	466,000
090228	09	تهیه، ساخت و نصب تیر به صورت تودلی از دو یا چند تیرآهن یا ناودانی به همراه ورق‏های تقویتی و بست‏های افقی یا مایل و اتصالات مربوط	کیلوگرم	492,500
090229	09	تهیه، ساخت و نصب تیر به صورت تودلی با تیر ساخته شده از ورق به شکل تیرآهن یا اشکال دیگر به همراه اتصالات مربوط	کیلوگرم	566,500
090230	09	تهیه، ساخت و نصب تیر اصلی از یک تیرآهن یا ناودانی	کیلوگرم	439,000
090231	09	تهیه، ساخت و نصب تیر اصلی از یک تیرآهن یا ناودانی با ورق‏های تقویتی	کیلوگرم	482,500
090232	09	تهیه، ساخت و نصب تیر اصلی، از دو یا چند تیرآهن یا ناودانی، در صورتی که به وسیله جوش مستقیما به یکدیگر متصل شوند	کیلوگرم	458,000
090233	09	تهیه، ساخت و نصب تیر اصلی، از دو یا چند تیرآهن یا ناودانی به همراه ورق‏های تقویتی و بست‏های افقی یا مایل	کیلوگرم	482,500
090234	09	تهیه، ساخت و نصب تیر اصلی از ورق به شکل تیرآهن یا اشکال دیگر به همراه ورق‏های تقویتی و ورق‏های سخت‏کننده	کیلوگرم	553,000
090235	09	تهیه و نصب پرلین از ورق روی سطوح شیب‌دار اسکلت فولادی یا خرپا به همراه اتصالات مربوط.	کیلوگرم	549,500
090236	09	تهیه و نصب پرلین از تیرآهن یا ناودانی روی سطوح شیب‏دار اسکلت فولادی یا خرپا به همراه اتصالات مربوط	کیلوگرم	446,500
090237	09	تهیه، ساخت و نصب تیرچه خرپایی (تیرچه فولادی با جان باز) از نبشی، سپری، ورق و میلگرد به همراه اتصالات مربوط	کیلوگرم	483,500
090238	09	تهیه، ساخت و نصب انواع پل‏های فولادی روی آبروها و کانال‏ها از ناودانی، تیرآهن، ورق، میلگرد و مانند آن به همراه اتصالات مربوط	کیلوگرم	437,500
090305	09	تهیه، ساخت و نصب ستون‌های خرپایی به اشکال مختلف از تیرآهن، ناودانی، نبشی و مانند آن، با اتصال اعضای خرپا بدون استفاده از ورق	کیلوگرم	498,000
090306	09	تهیه، ساخت و نصب ستون‌های خرپایی به اشکال مختلف از تیرآهن، ناودانی، نبشی و مانند آن، با اتصال اعضای خرپا با استفاده از ورق	کیلوگرم	525,500
090307	09	تهیه، ساخت و نصب ستون‏های خرپایی به اشکال مختلف از ورق	کیلوگرم	536,500
090308	09	تهیه، ساخت و نصب تیرهای خرپایی به اشکال مختلف از تیرآهن، ناودانی، نبشی، سپری و مانند آن با اتصال اعضای خرپا به یکدیگر بدون استفاده از ورق، برای دهانه تا ۲۰ متر در هر ارتفاع	کیلوگرم	499,500
090309	09	تهیه، ساخت و نصب تیرهای خرپایی به اشکال مختلف از تیرآهن، ناودانی، نبشی، سپری و مانند آن با اتصال اعضای خرپا به یکدیگر با استفاده از ورق، برای دهانه تا ۲۰ متر در هر ارتفاع	کیلوگرم	525,000
090310	09	تهیه، ساخت و نصب تیرهای خرپایی به اشکال مختلف از ورق، برای دهانه تا ۲۰ متر در هر ارتفاع	کیلوگرم	528,000
090320	09	تهیه، ساخت و اجرای سازه نگهبان فولادی از تیرآهن، ناودانی، نبشی، سپری، ورق و مانند آن، برای آن قسمت از سازه نگهبان که الزاماً در کار باقی بماند	کیلوگرم	0
090321	09	تهیه، ساخت و اجرای سازه نگهبان فولادی از تیرآهن، ناودانی، نبشی، سپری، ورق و مانند آن، برای آن قسمت از سازه نگهبان که در کار باقی نمی‏ماند	کیلوگرم	0
090401	09	تهیه، ساخت و نصب قا‌ب‌های فولادی که جان و بال آن‌ها از ورق بریده و ساخته شده‌اند (با جان متغیر)، به همراه کف‌ستون‌ها، انواع ورق‌های تقویتی و اتصالات مربوط برای دهانه تا 30 متر	کیلوگرم	591,000
090402	09	تهیه، ساخت و نصب بادبند متشکل از یک یا چند پروفیل از نبشی، تیرآهن، ناودانی، سپری و مانند آن با تمام قطعات اتصال به ستون، تیر یا اعضای بادبند به یکدیگر	کیلوگرم	487,000
090404	09	تهیه، ساخت و نصب باد‏بند از ورق با تمام قطعات اتصال به ستون، تیر یا اعضای بادبند به یکدیگر	کیلوگرم	539,500
090501	09	تهیه، ساخت و نصب برج‏های فولادی مرتفع آب	کیلوگرم	721,000
090601	09	اضافه‌بها به ردیف‏های تیر در صورت تغییر ارتفاع جان تیرآهن به روش لانه زنبوری بدون استفاده از ورق برای افزایش ارتفاع جان، با ورق‌های تقویتی لازم	کیلوگرم	83,000
090602	09	اضافه‌بها به ردیف‏های تیر در صورت تغییر ارتفاع جان تیرآهن به روش لانه زنبوری با استفاده از ورق برای افزایش ارتفاع جان، با ورق‌های تقویتی لازم	کیلوگرم	101,500
090603	09	اضافه‌بها به ردیف‏های تیر در صورت تغییر ارتفاع جان تیرآهن با برش به خط مستقیم در جان تیرآهن، بدون استفاده از ورق برای تغییر ارتفاع جان تیرآهن	کیلوگرم	73,300
090604	09	اضافه‌بها به ردیف‏های تیر در صورت تغییر ارتفاع جان تیرآهن با برش مستقیم در جان تیرآهن، با استفاده از ورق برای افزایش ارتفاع جان تیرآهن	کیلوگرم	97,300
090605	09	اضافه‌بها در صورت مصرف تیرآهن بال پهن، به جای تیرآهن معمولی	کیلوگرم	247,500
090606	09	اضافه‌بها در صورت خم کردن تیرآهن، ناودانی و سایر پروفیل‏های فولادی برای تیرهای قوسی شکل، پله‌های مدور و مانند آن (فقط برای قسمت قوسی شکل)	کیلوگرم	377,500
090607	09	اضافه‌بها به ردیف‏های 090229 و 090234 برای تیرهای قوسی شکل با برش خط منحنی در بال یا جان تیر (فقط برای قسمت قوسی شکل)	کیلوگرم	0
090608	09	اضافه ‏بها به ردیف‏های تهیه و نصب ستون، تیر، پرلین، خرپا و بادبند، در صورتی‏که به جای پروفیل از قوطی یا لوله درز‏دار استفاده شود	کیلوگرم	104,000
090609	09	اضافه‌بها به ردیف 090235 و 090236، در صورتی که پرلین در سطوح قائم (Girt) نصب شود	کیلوگرم	44,100
090701	09	تهیه و ساخت قطعات فولادی اتصالی و نصب در داخل کارهای بتنی یا بنایی، قبل از اجرای کارهای یاد شده، از نبشی، سپری، ورق، تسمه، میلگرد، لوله و مانند آن، با شاخک‏های لازم	کیلوگرم	642,500
090702	09	تهیه، ساخت و نصب برشگیر از ناودانی، نبشی، میلگرد، ورق و مانند آن روی قطعات اسکلت فولادی	کیلوگرم	988,500
090704	09	تهیه، ساخت و نصب لوله رابط فولادی (Paddle pipe) برای نصب در داخل کارهای بتنی در تصفیه‌خانه‌های آب و فاضلاب یا ابنیه آبی، به همراه تسمه آب‌بند کننده قبل از اجرای بتن‌ریزی، به طور کامل	کیلوگرم	732,000
090705	09	اضافه‌بها به ردیف ۰۹۰۷۰۴ در صورتی که از فولاد   زنگ‌نزن استفاده شود.	کیلوگرم	220,500
090706	09	تهیه، ساخت و نصب نگهدارنده لوله‌ها در تصفیه‌خانه‌های آب و فاضلاب یا ابنیه آبی و مانند آن از تیرآهن، ناودانی، نبشی، ورق و مانند آن به ارتفاع تا ۴ متر	کیلوگرم	495,000
090801	09	جوش‏کاری با بعد موثر تا ۵ میلی‌متر، همراه ساییدن.	مترطول	1,655,000
090802	09	جوش‏کاری برای بعد موثر بیش از ۵ میلی‌متر تا ۷ میلی‌متر، همراه ساییدن.	مترطول	2,097,000
090803	09	جوش‏کاری برای بعد موثر بیش از ۷ میلی‌متر تا ۱۰ میلی‌متر، همراه ساییدن.	مترطول	3,169,000
090804	09	جوش‏کاری برای بعد موثر بیش از ۱۰ میلی‌متر تا ۱۵ میلی‌متر، همراه ساییدن.	مترطول	5,057,000
090805	09	اضافه‌بها به ردیف‌های ۰۹۰۸۰۱ تا ۰۹۰۸۰۴، در صورت استفاده از روش جوش‏کاری با گاز محافظ	درصد	10
091001	09	تهیه و نصب پیچ و مهره معمولی.	کیلوگرم	934,000
091002	09	تهیه و نصب پیچ و مهره پرمقاومت	کیلوگرم	1,086,000
091003	09	تهیه و نصب پیچ و مهره پرمقاومت که نیاز به ترک متر ندارد (TC Bolt).	کیلوگرم	2,030,000
091004	09	اضافه‌بها نسبت به ردیف‌ 091002 برای استفاده از پیچ‌های   به شکل خاص غیر استاندارد (مانند پیچ سوراخ‏دار).	کیلوگرم	739,500
091010	09	اضافه‏بها به ردیف های 091001 تا 091003 برای استفاده از پیچ و مهره با پوشش گالوانیزه گرم	کیلوگرم	250,000
091011	09	اضافه‏بها به ردیف های 091001 تا 091003 برای استفاده از پیچ و مهره با پوشش گالوانیزه سرد	کیلوگرم	140,500
091012	09	اضافه‏بها به ردیف‏های 091001 تا 091003 برای استفاده از پیچ و مهره با پوشش ورقه‏ای	کیلوگرم	288,000
091101	09	تهیه پیونده‌ها و قطعات انتهای سر اعضا، به روش براده‌برداری، کوبن‏کاری یا آهنگری با وزن قطعات تا 250 گرم برای سازه‌های فضاکار	کیلوگرم	1,989,000
091104	09	تهیه پیونده‌ها و قطعات انتهای سر اعضا، به روش براده‌برداری، کوبن‏کاری یا آهنگری با وزن قطعات بیش از 250 گرم تا یک کیلوگرم برای سازه‌های فضاکار 	کیلوگرم	1,147,000
091105	09	تهیه پیونده‌ها و قطعات انتهای سر اعضا، به روش براده‌برداری، کوبن‏کاری یا آهنگری با وزن قطعات بیش از یک کیلوگرم برای سازه‌های فضاکار 	کیلوگرم	975,500
091110	09	اضافه‌بها به ردیف‌های ۰۹۱۱۰۱، ۰۹۱۱۰۴ و 091105 برای ماشین‌کاری پیونده‌ها	کیلوگرم	743,500
091111	09	اضافه‌بها به ردیف‌های ۰۹۱۱۰۱، ۰۹۱۱۰۴ و 091105 برای ماشین‌کاری خاص پیونده‌ها	کیلوگرم	1,486,000
091112	09	اضافه‌بها به ردیف‌های ۰۹۱۱۰۱، ۰۹۱۱۰۴ و 091105 برای ماشین‌کاری روی قطعات انتهای سر اعضا	کیلوگرم	297,500
091113	09	اضافه‌بها به ردیف‌های ۰۹۱۱۰۱، ۰۹۱۱۰۴ و 091105 برای استفاده از فولاد St52 یا فولاد کربنی Ck45	کیلوگرم	247,500
091114	09	اضافه‌بها به ردیف‌های ۰۹۱۱۰۱، ۰۹۱۱۰۴ و 091105 برای قطعاتی که به روش گرم، گالوانیزه شوند	کیلوگرم	254,000
091115	09	اضافه‌بها به ردیف‌های ۰۹۱۱۰۱، ۰۹۱۱۰۴ و 091105 برای قطعاتی که به روش سرد، گالوانیزه شوند	کیلوگرم	142,500
091601	09	تهیه و آماده‌سازی واحدهای سازه‌ فضاکار از لوله درزدار از فولاد St37 شامل بریدن به اندازه‌های معین، پلیسه‌گیری، سنگ‌زدن و مونتاژ آن‏ها با قطعات الحاقی در داخل جیگ و آماده‌کردن برای جوش‏کاری	کیلوگرم	707,500
091605	09	اضافه‌بها نسبت به ردیف‌ ۰۹۱۶۰۱، در صورتی که وزن پروفیل یا لوله عضو کمتر از دو کیلوگرم باشد	کیلوگرم	48,000
091606	09	کسربها نسبت به ردیف‌ ۰۹۱۶۰۱، در صورتی که به جای لوله درزدار، از نبشی و مانند آن استفاده شود	کیلوگرم	-154,500
091607	09	اضافه‌بها نسبت به ردیف‌ ۰۹۱۶۰۱، در صورتی که به جای لوله، از اضلاع حاصل از پرس کاری و نورد سرد استفاده شود (مانند قوطی)	کیلوگرم	0
091608	09	اضافه‌بها نسبت به ردیف ۰۹۱۶۰۱، برای استفاده از فولاد St52	کیلوگرم	30,900
091609	09	اضافه‌بها نسبت به ردیف ۰۹۱۶۰۱، برای استفاده از لوله‌های با ضخامت جدار بیش از ۷ میلی‌متر	کیلوگرم	303,000
091610	09	اضافه‌بها نسبت به ردیف ۰۹۱۶۰۱، برای آماده‌سازی سر اضلاع برای جوش‏کاری مستقیم به یکدیگر با برشکاری طبق الگو و سنگ‌زدن	کیلوگرم	49,800
091611	09	اضافه‌بها نسبت به ردیف ۰۹۱۶۰۱، بابت دوپهن کردن سر پروفیل لوله فولادی و سوراخ‏کاری لازم	کیلوگرم	0
091612	09	اضافه‌بها نسبت به ردیف ۰۹۱۶۰۱، برای استفاده از لوله که به روش گرم، گالوانیزه شده باشد	کیلوگرم	254,000
091613	09	اضافه‌بها نسبت به ردیف ۰۹۱۶۰۱ برای استفاده از لوله که   به روش سرد، گالوانیزه شده باشد.	کیلوگرم	142,500
092801	09	هزینه بافت و نصب شبکه‌های سازه فضاکار تخت نسبت به هزینه تهیه و آماده‏سازی قطعات	درصد	15
092802	09	هزینه بافت و نصب شبکه‌های سازه فضاکار با انحنا در یک   امتداد (چلیک‌ها) نسبت به هزینه تهیه و آماده‏سازی قطعات.	درصد	18
092803	09	هزینه بافت و نصب شبکه‌های سازه فضاکار با انحنا در دو امتداد (گنبدها) نسبت به هزینه تهیه و آماده‏سازی قطعات	درصد	25
092804	09	هزینه بافت و نصب شبکه‌های سازه فضاکار دارای فرم‌های آزاد نسبت به هزینه تهیه و آماده‏سازی قطعات	درصد	30
100101	10	اجرای سقف تیرچه و بلوک به ضخامت 20 سانتی‌متر با تیرچه پاشنه بتنی و بلوک توخالی بتنی، شامل تهیه تمام مصالح به استثنای میلگرد، و تهیه تجهیزات لازم به طور کامل	مترمربع	6,751,000
100102	10	اجرای سقف تیرچه و بلوک به ضخامت ۲۵ سانتی‌متر با تیرچه پاشنه بتنی و بلوک توخالی بتنی، شامل تهیه تمام مصالح به استثنای میلگرد، و تهیه تجهیزات لازم به طور کامل	مترمربع	7,118,000
100103	10	اجرای سقف تیرچه و بلوک به ضخامت ۳۰ سانتی‌متر با تیرچه پاشنه بتنی و بلوک توخالی بتنی، شامل تهیه تمام مصالح به استثنای میلگرد، و تهیه تجهیزات لازم به طور کامل	مترمربع	7,455,000
100104	10	اجرای سقف تیرچه و بلوک به ضخامت ۳۵ سانتی‌متر با تیرچه پاشنه بتنی و بلوک توخالی بتنی، شامل تهیه تمام مصالح به استثنای میلگرد، و تهیه تجهیزات لازم به طور کامل	مترمربع	8,046,000
100202	10	اجرای سقف تیرچه و بلوک به ضخامت ۲۵ سانتی‌متر با تیرچه پاشنه بتنی و بلوک توخالی سفالی، شامل تهیه تمام مصالح به استثنای میلگرد، و تهیه تجهیزات لازم به طور کامل	مترمربع	7,232,000
100203	10	اجرای سقف تیرچه و بلوک به ضخامت ۳۰ سانتی‌متر با تیرچه پاشنه بتنی و بلوک توخالی سفالی، شامل تهیه تمام مصالح به استثنای میلگرد، و تهیه تجهیزات لازم به طور کامل	مترمربع	7,466,000
100305	10	اجرای سقف تیرچه و بلوک به ضخامت ۲۵ سانتی‌متر با تیرچه پاشنه بتنی و بلوک پلی‏‌استایرن منبسط ‏شده، شامل تهیه تمام مصالح به استثنای میلگرد، و تهیه تجهیزات لازم به طور کامل	مترمربع	8,391,000
100306	10	اجرای سقف تیرچه و بلوک به ضخامت ۳۰ سانتی‌متر با تیرچه پاشنه بتنی و بلوک پلی‏‌استایرن منبسط ‏شده، شامل تهیه تمام مصالح به استثنای میلگرد، و تهیه تجهیزات لازم به طور کامل	مترمربع	9,101,000
100401	10	اجرای سقف تیرچه و بلوک به ضخامت 20 سانتی‌متر با تیرچه فولادی با جان باز و بلوک توخالی بتنی شامل تهیه تمام مصالح به استثنای تیرچه فولادی و میلگرد و تهیه تجهیزات لازم به طور کامل	مترمربع	5,480,000
100402	10	اجرای سقف تیرچه و بلوک به ضخامت ۲۵ سانتی‌متر با تیرچه فولادی با جان باز و بلوک توخالی بتنی شامل تهیه تمام مصالح به استثنای تیرچه فولادی و میلگرد و تهیه تجهیزات لازم به طور کامل	مترمربع	5,847,000
100403	10	اجرای سقف تیرچه و بلوک به ضخامت ۳۰ سانتی‌متر با تیرچه فولادی با جان باز و بلوک توخالی بتنی شامل تهیه تمام مصالح به استثنای تیرچه فولادی و میلگرد و تهیه تجهیزات لازم به طور کامل	مترمربع	6,184,000
100405	10	اجرای سقف تیرچه و بلوک به ضخامت 35 سانتی‌متر با تیرچه فولادی با جان باز و بلوک توخالی بتنی، شامل تهیه تمام مصالح به استثنای تیرچه فولادی و میلگرد، و تهیه تجهیزات لازم به طور کامل	مترمربع	6,775,000
100501	10	اجرای سقف تیرچه و بلوک به ضخامت ۲۵ سانتی‌متر با تیرچه فولادی با جان باز و بلوک توخالی سفالی، شامل تهیه تمام مصالح به استثنای تیرچه فولادی و میلگرد، و تهیه تجهیزات لازم به طور کامل	مترمربع	5,961,000
100502	10	اجرای سقف تیرچه و بلوک به ضخامت ۳۰ سانتی‌متر با تیرچه فولادی با جان باز و بلوک توخالی سفالی، شامل تهیه تمام مصالح به استثنای تیرچه فولادی و میلگرد، و تهیه تجهیزات لازم به طور کامل	مترمربع	6,195,000
100601	10	اجرای سقف تیرچه و بلوک به ضخامت ۲۵ سانتی‌متر با تیرچه فولادی با جان باز و بلوک پلی‏‌استایرن منبسط‏ شده، شامل تهیه تمام مصالح به استثنای تیرچه فولادی و میلگرد و تهیه تجهیزات لازم به طور کامل	مترمربع	7,120,000
100602	10	اجرای سقف تیرچه و بلوک به ضخامت 30 سانتی‌متر با تیرچه فولادی با جان باز و بلوک پلی‏‌استایرن منبسط‏ شده، شامل تهیه تمام مصالح به استثنای تیرچه فولادی و میلگرد و تهیه تجهیزات لازم به طور کامل	مترمربع	7,830,000
100701	10	اضافه‌بها به ردیف‏‌های سقف تیرچه و بلوک، در صورتی که مقاومت فشاری مشخصه بتن سقف، بیش از 20 مگاپاسکال و حداکثر 25 مگاپاسکال باشد	مترمربع	59,500
100702	10	اضافه‌بها به ردیف‌‏های سقف تیرچه و بلوک، در صورتی که مقاومت فشاری مشخصه بتن سقف، بیش از 25 مگاپاسکال و حداکثر 30 مگاپاسکال باشد	مترمربع	76,500
100703	10	اضافه‌بها به ردیف‌‏های سقف تیرچه و بلوک با بلوک بتنی، در صورتی که در تهیه بلوک از پوکه معدنی استفاده شده باشد	مترمربع	334,500
110101	11	آجرکاری به ضخامت یک و نیم آجر و بیشتر با آجر ماسه آهکی   به ابعاد آجرفشاری و ملات ماسه سیمان 1:5.	مترمکعب	27,063,000
110104	11	دیوار یک آجره با آجر ماسه آهکی به ابعاد آجر فشاری و   ملات ماسه سیمان ۱:۵.	مترمربع	6,105,000
110107	11	دیوار نیم آجره با آجر ماسه آهکی، به ابعاد آجر فشاری و   ملات ماسه سیمان ۱:۵.	مترمربع	3,358,000
110110	11	دیوار آجری به ضخامت 5 تا 6 سانتی‌متر با آجر ماسه آهکی به ابعاد آجرفشاری و ملات گچ و خاک	مترمربع	2,160,000
110201	11	آجرکاری به ضخامت یک و نیم آجر و بیشتر با آجر فشاری و ملات ماسه سیمان ۱:۵	مترمکعب	25,217,000
110205	11	دیوار یک آجره با آجر فشاری و ملات ماسه سیمان ۱:۵.	مترمربع	5,700,000
110208	11	دیوار نیم آجره با آجر فشاری و ملات ماسه سیمان ۱:۵.	مترمربع	3,133,000
110212	11	دیوار آجری   به ضخامت ۵ تا ۶ سانتی‌متر، با آجر فشاری و ملات گچ و خاک.	مترمربع	2,028,000
110213	11	آجرکاری  با آجرفشاری برای زیرسازی پله با ملات ماسه سیمان 1:5.	مترمکعب	27,151,000
110401	11	دیوار به ضخامت 7 تا 11 سانتی‌متر با بلوک سفال و ملات   ماسه سیمان 1:5.	مترمکعب	21,686,000
110402	11	دیوار به ضخامت بیش از 11 تا 22 سانتی‌متر با بلوک سفال و ملات ماسه سیمان 1:5	مترمکعب	18,409,000
110403	11	آجرکاری به ضخامت بیش از 22 سانتی‌متر با بلوک سفال و ملات ماسه سیمان 1:5	مترمکعب	18,059,000
110501	11	آجرکاری به ضخامت یک و نیم آجر و بیشتر با آجرماشینی   سوراخ‌دار به ابعاد آجرفشاری و ملات ماسه سیمان 1:5.	مترمکعب	24,667,000
110502	11	دیوار یک آجره با آجر ماشینی سوراخ‌دار به ابعاد آجر فشاری، با ملات ماسه سیمان ۱:۵	مترمربع	5,723,000
110503	11	دیوار نیم آجره با آجر ماشینی سوراخ‌دار به ابعاد آجر فشاری، با ملات ماسه سیمان ۱:۵	مترمربع	3,100,000
110504	11	دیوار آجری به ضخامت ۵ تا ۶ سانتی‌متر با آجر ماشینی سوراخ‌دار به ابعاد آجر فشاری، با ملات گچ و خاک.	مترمربع	1,871,000
110601	11	نماچینی نیم آجره با آجر ماشینی سوراخ‌دار مخصوص نما به ابعاد آجرفشاری و ملات ماسه سیمان ۱:۵	مترمربع	6,125,000
110602	11	نماچینی نیم آجره با آجرماشینی سوراخ‌دار مخصوص نما به ضخامت حدود ۴ سانتی‌متر و ملات ماسه سیمان1:5	مترمربع	7,010,000
110603	11	نماچینی نیم آجره با آجر ماشینی سوراخ‌دار مخصوص نما به ضخامت حدود ۳ سانتی‌متر و ملات ماسه سیمان 1:5	مترمربع	8,148,000
110610	11	دیوار یک آجره و نماسازی یک طرفه با آجر ماشینی سوراخ‌دار مخصوص نما به ابعاد آجرفشاری و ملات ماسه سیمان 1:5	مترمربع	10,167,000
110611	11	دیوار یک آجره و نماسازی یک طرفه با آجرماشینی سوراخ‌دار مخصوص نما به ضخامت حدود ۴ سانتی‌متر و ملات ماسه سیمان 1:5	مترمربع	12,514,000
110612	11	دیوار یک آجره و نماسازی یک طرفه با آجرماشینی سوراخ‌دار مخصوص نما به ضخامت حدود 3 سانتی‌متر و ملات ماسه سیمان 1:5	مترمربع	13,708,000
110615	11	دیوار یک و نیم آجره و نماسازی دو طرفه با آجر ماشینی سوراخ‌دار مخصوص نما به ابعاد آجرفشاری و ملات ماسه سیمان 1:5	مترمربع	14,352,000
110616	11	دیوار یک و نیم آجره و نماسازی دو طرفه با آجرماشینی سوراخ‌دار مخصوص نما به ضخامت حدود ۴ سانتی‌متر و ملات ماسه سیمان 1:5	مترمربع	16,413,000
110617	11	دیوار یک و نیم آجره و نماسازی دو طرفه با آجرماشینی سوراخ‌دار مخصوص نما به ضخامت حدود 3 سانتی‌متر و ملات ماسه سیمان 1:5	مترمربع	18,109,000
110701	11	نماچینی نیم آجره با آجر قزاقی به ابعاد آجر فشاری و ملات ماسه سیمان ۱:۵	مترمربع	7,439,000
110702	11	نماچینی نیم آجره با آجر قزاقی به ضخامت حدود ۴ سانتی‌متر و ملات ماسه سیمان ۱:۵	مترمربع	8,742,000
110703	11	نماچینی نیم آجره با آجر قزاقی به ضخامت حدود 3 سانتی‌متر و ملات ماسه سیمان ۱:۵	مترمربع	9,725,000
110801	11	اضافه‌بهای نماسازی نسبت به ردیف‌های دیوارچینی با   آجر فشاری، آجر ماسه آهکی و آجر ماشینی سوراخ‌دار.	مترمربع	1,231,000
110802	11	اضافه‌بهای نماسازی نسبت به ردیف‌های دیوارچینی با آجرفشاری، درصورتی که در نما از آجر ماشینی سوراخ‌دار به ابعاد آجر فشاری استفاده شود	مترمربع	1,487,000
110803	11	اضافه‌بهای نماسازی نسبت به ردیف‌های دیوارچینی با آجر ماسه‌ آهکی، درصورتی که در نما از آجر ماشینی سوراخ‌دار به ابعاد آجر فشاری استفاده شود	مترمربع	1,241,000
110804	11	اضافه‌بهای نماسازی نسبت به ردیف‌های دیوارچینی با   آجر فشاری، در صورتی که در نما از آجر قزاقی، به ابعاد آجر فشاری استفاده شود.	مترمربع	3,016,000
110805	11	اضافه‌بهای نماسازی به ردیف‌های دیوارچینی با آجر ماسه آهکی در صورتی که در نما از آجر قزاقی، به ابعاد آجر فشاری استفاده شود	مترمربع	2,780,000
110815	11	اضافه‌بهای نماسازی نسبت به ردیف‌های دیوارچینی با آجر فشاری درصورتی که در نما از آجر ماشینی سوراخ‌دار مخصوص نما به ابعاد آجر فشاری استفاده شود	مترمربع	1,756,000
110816	11	اضافه‌بهای نماسازی نسبت به ردیف‌های دیوارچینی با آجر ماسه آهکی درصورتی که در نما از آجر ماشینی سوراخ‌دار مخصوص نما به ابعاد آجر فشاری استفاده شود	مترمربع	1,576,000
110817	11	اضافه‌بهای نماسازی نسبت به ردیف‌های دیوارچینی با آجر ماشینی سوراخ‌دار، درصورتی که در نما از آجر ماشینی سوراخ‌دار مخصوص نما به ابعاد آجر فشاری استفاده شود	مترمربع	1,895,000
110820	11	اضافه‌بها به ردیف‌های 110601 تا 110617 و 110815 تا 110817 درصورت استفاده از آجر ماشینی سوراخ‌دار مخصوص نما به رنگ قرمز	مترمکعب	4,106,000
110821	11	اضافه‌بها به ردیف‌های نماسازی بابت آب ساب نمودن   آجر.	مترمربع	1,805,000
110822	11	اضافه‌بها به ردیف‌های نماسازی بابت تراش و کشویی   نمودن آجر.	مترمربع	1,366,000
110823	11	اضافه‌بها به ردیف‌های نماچینی، در صورتی که آجرها به صورت هره چیده شود (اندازه‌گیری روی سطح قابل رویت)	مترمربع	2,341,000
110824	11	اضافه‌بهای دیوار چینی به صورت دیوار دو جداره، به ازای هر مترمربع دیوار دو جداره که هم زمان چیده شود. (یک طرف اندازه‌گیری می‌شود)	مترمربع	219,000
110825	11	اضافه‌بها برای هر نوع دیوارچینی یا آجرکاری که در پایین   تراز آب‌های زیرزمینی انجام شود و آبکشی حین انجام کار با تلمبه موتوری   الزامی باشد.	مترمکعب	2,302,000
110826	11	اضافه‌بها به هر نوع آجرکاری، برای کار در داخل چاه یا قنات یا مجاری زیرزمینی در هر عمق و به هر طول	مترمکعب	11,431,000
110827	11	اضافه‌بها به ردیف‌های دیوارچینی، درصورتی که دیوار با   میلگرد به اجزای سازه‌ای مهار شود.	مترمکعب	434,000
110830	11	اضافه‌بها به ردیف‌های دیوارچینی یا آجرکاری با آجرفشاری و آجر ماسه آهکی ، درصورتی که از ملات باتارد 1:2:9 بجای ملات ماسه سیمان 1:5 استفاده شود، به ازای هر مترمکعب آجرچینی	مترمکعب	1
110831	11	کسربها به ردیف‌های دیوارچینی یا آجرکاری با آجرفشاری و آجر ماسه آهکی، درصورتی که از ملات ماسه آهک 1:3 بجای ملات ماسه سیمان 1:5 استفاده شود، به ازای هر مترمکعب آجرچینی	مترمکعب	-625,500
